current_difficulty,total_attempts,total_correct,next_difficulty
3,8,6,3
2,5,2,1
1,7,6,2
3,10,3,2
2,9,4,1
1,6,5,2
3,4,2,1
2,3,1,1
1,8,7,2
3,10,4,2
2,7,2,1
1,5,3,1
3,9,3,2
2,6,2,1
1,4,3,2
3,3,2,2
2,10,3,1
1,8,6,2
3,5,3,3
2,7,4,2
1,10,3,1
3,9,7,3
2,6,3,2
1,3,2,1
3,10,3,2
2,8,3,2
1,9,6,2
3,7,5,3
2,5,4,3
1,6,4,1
3,10,7,3
2,4,2,2
1,5,2,1
3,9,4,2
2,10,4,1
1,3,1,1
3,7,3,2
2,6,3,2
1,8,6,2
3,5,2,2
2,9,3,2
1,7,4,1
3,10,6,3
2,4,3,2
1,6,2,1
3,9,2,2
2,7,5,3
1,5,3,1
3,8,6,3
2,6,3,2
1,4,2,1
3,7,2,2
2,10,3,1
1,9,7,2
3,5,4,3
2,8,4,2
1,3,2,1
3,10,3,2
2,7,3,2
1,6,4,1
3,9,6,3
2,5,3,2
1,8,5,2
3,4,2,2
2,10,4,1
1,7,3,1
3,6,2,2
2,9,7,3
1,10,4,1
3,8,6,3
2,5,2,1
1,4,3,2
3,3,1,2
2,6,2,1
1,7,5,2
3,10,7,3
2,8,3,2
1,9,6,2
3,5,2,2
2,7,4,2
1,6,3,1
3,10,3,2
2,9,4,2
1,8,7,2
3,7,3,2
2,10,3,1
1,5,2,1
3,4,2,2
2,6,3,2
1,10,4,1
3,9,7,3
2,7,5,3
1,3,1,1
3,12,9,3
2,8,3,1
1,10,8,2
3,6,2,2
2,5,1,1
1,7,6,2
3,9,8,3
2,4,1,1
1,6,5,2
3,10,4,2
2,7,2,1
1,8,7,2
3,5,3,3
2,9,3,2
1,4,2,1
3,7,5,3
2,6,2,1
1,10,9,2
3,8,6,3
2,5,1,1
1,7,6,2
3,9,7,3
2,4,2,2
1,6,4,1
3,10,8,3
2,7,3,2
1,8,7,2
3,5,2,2
2,9,4,2
1,10,9,2
3,6,2,2
2,8,3,2
1,7,6,2
3,9,8,3
2,5,1,1
1,6,5,2
3,10,7,3
2,4,1,1
1,8,7,2
3,7,5,3
2,6,2,1
1,9,8,2
3,5,3,3
2,10,4,1
1,7,6,2
3,8,6,3
2,9,3,2
1,6,5,2
3,10,9,3
2,5,1,1
1,4,3,2
3,7,5,3
2,8,3,2
1,9,8,2
3,6,2,2
2,10,4,1
1,7,6,2
3,5,3,3
2,4,1,1
1,8,7,2
3,9,8,3
2,6,2,1
1,10,9,2
3,7,5,3
2,5,1,1
1,6,5,2
3,8,6,3
2,9,3,2
1,4,2,1
3,10,8,3
2,7,2,1
1,8,7,2
3,5,3,3
2,6,1,1
1,9,8,2
3,4,2,2
2,10,4,1
1,7,6,2
3,8,6,3
2,5,1,1
1,6,5,2
3,9,8,3
2,7,2,1
1,10,9,2
3,6,2,2
2,8,3,2
1,4,3,2
3,5,3,3
2,9,4,2
1,7,6,2
3,10,8,3
2,6,1,1
1,8,7,2
3,4,2,2
2,5,1,1
1,9,8,2
3,7,5,3
2,10,4,1
1,6,5,2
3,8,6,3
2,9,3,2
1,4,2,1
3,5,3,3
2,7,2,1
1,10,9,2
3,6,2,2
2,8,3,2
1,7,6,2
3,9,8,3
2,5,1,1
1,6,5,2
3,10,8,3
2,4,1,1
1,8,7,2
3,7,5,3
2,6,1,1
1,9,8,2
3,5,3,3
2,10,4,1
1,7,6,2
3,8,6,3
2,9,3,2
1,6,5,2
3,4,2,2
2,5,1,1
1,10,9,2
3,7,5,3
2,8,3,2
1,9,8,2
3,6,2,2
2,10,4,1
1,4,3,2
3,5,3,3
2,7,2,1
1,8,7,2
3,9,8,3
2,6,1,1
1,10,9,2
3,4,2,2
2,5,1,1
1,7,6,2
3,8,6,3
2,9,3,2
1,6,5,2
3,10,8,3
2,7,2,1
1,4,3,2
3,5,3,3
2,8,3,2
1,9,8,2
3,6,2,2
2,10,4,1
1,7,6,2
3,4,2,2
2,5,1,1
1,8,7,2
3,9,8,3
2,6,1,1
1,10,9,2
3,7,5,3
2,8,3,2
1,4,3,2
3,5,3,3
2,9,4,2
1,7,6,2
3,10,8,3
2,6,1,1
1,8,7,2
3,4,2,2
2,5,1,1
1,9,8,2
3,7,5,3
2,10,4,1
1,6,5,2
3,8,6,3
2,9,3,2
1,4,2,1
3,5,3,3
2,7,2,1
1,10,9,2
3,6,2,2
2,8,3,2
1,7,6,2
3,9,8,3
2,5,1,1
1,6,5,2
3,10,8,3
2,4,1,1
1,8,7,2
